team_id,team_name,wins,losses,pf,pa,is_bot,forfeits
87851,NinetyFivers,2,0,215,171,0,0
27215,Cordoba Esperanza,2,0,219,177,0,0
85742,Shadow Team,2,0,185,154,0,0
86366,Sonics de Seattle,1,1,201,210,0,0
87506,Deadpool,1,1,210,227,0,0
259167,FoxTreex,0,2,195,210,0,0
87268,Les Pitbulls du 91,0,2,200,237,0,0
85427,preachers,0,2,148,187,0,0
85421,Feufoleys,2,0,225,176,0,0
258173,Thumesniloise,2,0,208,171,0,0
87029,Abbeville BB,1,1,208,189,0,0
86148,Caraman basket club,1,1,194,195,0,0
85559,Stade Clermontois Basket,1,1,221,224,0,0
84809,LEre Quin,1,1,176,201,0,0
86097,SQBB2,0,2,165,195,0,0
253096,Angers Sphinx,0,2,188,234,0,0
